Ime,Prezime,Adresa,DatumRodjenja,BrojLicne,Jmbg
"","Prezime","Adresa",1/1/2001,123E123,0101001891234
"Ime","","Adresa",1/1/2001,123E123,0101001891234
"n-","Prezime","Adresa",1/1/2001,123E123,0101001891234
"naida-nozic","-pp-","Adresa",1/1/2001,123E123,0101001891234
"nai-da","Prezime","Adresa",1/1/2022,123E123,0101001891234
"naida-da","Prezime","Adresa",1/1/2023,123E123,0101001891234
"naid-da","Prezime","Adresa",1/1/2001,123e123,0101001891234
"naid-da","Prezime","Adresa",1/1/2002,123e123,0101011891234
"naid-da","Prezime","Adresa",1/1/2041,123E123,0101001891245734
"naid-da","Prezime","Adresa",1/1/2001,123e123,""
